,x,y,id,address,category_group_code,category_group_name,category_name,place_name,road_address_name
622,127.036905312594,37.5084715837815,2023505233,서울 강남구 논현동 236-6,FD6,음식점,음식점 > 샐러드,샐러딧 강남본점,서울 강남구 봉은사로 227
623,127.045537403984,37.503077857532,1684702238,서울 강남구 역삼동 707-5,FD6,음식점,음식점 > 샐러드,크리스피프레시 선릉점,서울 강남구 테헤란로 316
624,127.024021209582,37.5171587844562,955635501,서울 강남구 논현동 5-16,FD6,음식점,음식점 > 샐러드,테이크파이브,서울 강남구 논현로149길 56
625,127.033451093941,37.5007068470736,289572206,서울 강남구 역삼동 637-36,FD6,음식점,음식점 > 샐러드,밸런스포케 역삼점,서울 강남구 강남대로94길 75
626,127.036088129168,37.5072581826987,31076947,서울 강남구 역삼동 651-14,FD6,음식점,음식점 > 샐러드,바리 슈퍼푸드 논현점,서울 강남구 언주로107길 38
627,127.037898161058,37.5259885782864,943443114,서울 강남구 신사동 657-22,FD6,음식점,음식점 > 샐러드,WHAT A CHEF,서울 강남구 선릉로157길 23-3
628,127.038990612557,37.5035298016018,1697244761,서울 강남구 역삼동 672-25,FD6,음식점,음식점 > 샐러드,뷰티풀샐러드&도시락,서울 강남구 테헤란로33길 26
629,127.032478368602,37.4977599272154,853677931,서울 강남구 역삼동 823-16,FD6,음식점,음식점 > 샐러드,뱃살도둑 역삼점,서울 강남구 논현로85길 70
630,127.05162512267071,37.49958215433836,1455993887,서울 강남구 대치동 921-2,FD6,음식점,음식점 > 샐러드,초록밭,서울 강남구 선릉로 334
631,127.02538388221744,37.50938914134379,1063894418,서울 강남구 논현동 146-11,FD6,음식점,음식점 > 샐러드,그리너 논현점,서울 강남구 강남대로124길 35
632,127.037197745744,37.5279692032508,2059601273,서울 강남구 신사동 660-17,FD6,음식점,음식점 > 샐러드,블랙루머,서울 강남구 압구정로46길 5-6
633,127.03503467287771,37.49894852512514,103606296,서울 강남구 역삼동 736-31,FD6,음식점,음식점 > 샐러드 > 샐러디,샐러디 역삼점,서울 강남구 테헤란로22길 14
634,127.021095255475,37.5183811038751,747921700,서울 강남구 신사동 511-9,FD6,음식점,음식점 > 샐러드 > 샐러디,샐러디 신사점,서울 강남구 강남대로156길 24
635,127.053193367196,37.4991597877297,90357697,서울 강남구 대치동 923-3,FD6,음식점,음식점 > 샐러드,매크로키친 대치본점,서울 강남구 선릉로68길 18
636,127.03072448375345,37.49520153755401,891689827,서울 강남구 역삼동 826-37,FD6,음식점,음식점 > 샐러드,마치래빗 강남점,서울 강남구 테헤란로4길 46
637,127.04221262182352,37.515464302244375,1225673289,서울 강남구 삼성동 8-2,FD6,음식점,음식점 > 샐러드 > 샐러디,샐러디 강남구청역점,서울 강남구 선릉로 660
638,127.027043733811,37.5111051866236,40271144,서울 강남구 논현동 137-11,FD6,음식점,음식점 > 샐러드,끼니위드팜 강남논현점,서울 강남구 강남대로124길 67
639,127.050236724294,37.5034570778727,314512880,서울 강남구 대치동 889-65,FD6,음식점,음식점 > 샐러드,핑크마우스 선릉점,서울 강남구 선릉로86길 5-4
640,127.040573079633,37.5186535280484,2042271655,서울 강남구 논현동 111-22,FD6,음식점,음식점 > 샐러드,그린벨,서울 강남구 선릉로 717
641,127.037244739488,37.4950518967619,493674871,서울 강남구 역삼동 790,FD6,음식점,음식점 > 샐러드,샐리오,서울 강남구 역삼로 166
642,127.051240918598,37.5033287037679,1768987592,서울 강남구 대치동 897-22,FD6,음식점,음식점 > 샐러드 > 샐러디,샐러디 선릉중앙점,서울 강남구 선릉로86길 18
643,127.03932752089,37.52486726426,2143205943,서울 강남구 신사동 665-6,FD6,음식점,음식점 > 샐러드 > 샐러디,샐러디 압구정로데오역점,서울 강남구 선릉로 815
644,127.037206802107,37.5279809134215,1637034687,서울 강남구 신사동 660-17,FD6,음식점,음식점 > 샐러드,르씨엘베르,서울 강남구 압구정로46길 5-6
645,127.056151070054,37.5057916223857,337515586,서울 강남구 대치동 892,FD6,음식점,음식점 > 샐러드,스윗밸런스 포스코센터점,서울 강남구 테헤란로 440
646,127.06072121920111,37.49303111542674,1801670566,서울 강남구 대치동 506,FD6,음식점,음식점 > 샐러드 > 샐러디,샐러디 대치점,서울 강남구 삼성로 151
647,127.032633401744,37.5005998560746,1883731427,서울 강남구 역삼동 647-1,FD6,음식점,음식점 > 샐러드 > 샐러디,샐러디 역삼역점,서울 강남구 강남대로94길 66
648,127.052191922384,37.4982790503297,330839294,서울 강남구 대치동 922-28,FD6,음식점,음식점 > 샐러드 > 샐러디,샐러디 한티역점,서울 강남구 선릉로 320
649,127.06088377012571,37.514966007779286,783139764,서울 강남구 삼성동 107-5,FD6,음식점,음식점 > 샐러드 > 샐러디,샐러디 봉은사역점,서울 강남구 영동대로112길 10
650,127.06080669351763,37.509191511909854,1732235763,서울 강남구 삼성동 159-8,FD6,음식점,음식점 > 샐러드,크리스피프레시 파르나스몰점,서울 강남구 테헤란로 521
651,127.054465754645,37.4978004905177,695238842,서울 강남구 대치동 935-36,FD6,음식점,음식점 > 샐러드 > 포케올데이,포케올데이 대치점,서울 강남구 도곡로63길 12
652,127.02896528084476,37.51369511812982,1217635979,서울 강남구 논현동 58-2,FD6,음식점,음식점 > 샐러드 > 샐러디,샐러디 학동역점,서울 강남구 학동로 165
653,127.03068416042498,37.49614580311185,650683904,서울 강남구 역삼동 827-14,FD6,음식점,음식점 > 샐러드,샐러드몬스터,서울 강남구 테헤란로4길 35
